Local Decode(TotalCH*Resolution*FPS),Local Decode(Total Bit Rate),Smart Guard(General Motion)(Total DecodeResolution*FPS),Smart Guard(General Motion)(Total Decode Bit Rate),Live View Connection(Server Total UpLoad Bit Rate),Always Record(Total Record Bit Rate),Metadata,Edge Event,IVS Channel(Resolution*FPS),IVS Channel(Bit Rate),const,Loading Avg
62208000,2048,0,0,0,0,0,0,0,0,0,0.2742
124416000,4096,0,0,0,0,0,0,0,0,0,0.455
186624000,6144,0,0,0,0,0,0,0,0,0,0.694
248832000,8192,0,0,0,0,0,0,0,0,0,0.952
62208000,4096,0,0,0,0,0,0,0,0,0,0.293
124416000,8192,0,0,0,0,0,0,0,0,0,0.487
186624000,12288,0,0,0,0,0,0,0,0,0,0.815
124416000,4096,0,0,0,65536,0,0,0,0,0,0.533
186624000,6144,0,0,0,65536,0,0,0,0,0,0.7414
186624000,6144,0,0,65536,0,0,0,0,0,0,0.8204
0,0,0,0,131072,0,0,0,0,0,0,0.14
124416000,4096,0,0,131072,0,0,0,0,0,0,0.499
186624000,6144,0,0,131072,0,0,0,0,0,0,0.882
186624000,6144,0,0,65536,65536,0,0,0,0,0,0.864
0,0,0,0,262144,131072,0,0,0,0,0,0.1842
0,0,0,0,65536,131072,0,0,0,0,0,0.178
0,0,0,0,131072,131072,0,0,0,0,0,0.1798
0,0,0,0,262144,131072,0,0,0,0,0,0.1966
0,0,0,0,0,131072,0,0,0,0,0,0.175
62208000,4096,0,0,0,131072,0,0,0,0,0,0.315
124416000,8192,0,0,0,131072,0,0,0,0,0,0.535
186624000,12288,0,0,0,131072,0,0,0,0,0,0.894
0,0,0,0,0,32768,0,0,0,0,0,0.0931
62208000,1024,0,0,0,32768,0,0,0,0,0,0.1825
124416000,2048,0,0,0,32768,0,0,0,0,0,0.279
186624000,3072,0,0,0,32768,0,0,0,0,0,0.4126
248832000,4096,0,0,0,32768,0,0,0,0,0,0.6279
311040000,5120,0,0,0,32768,0,0,0,0,0,0.9113
0,0,0,0,0,65536,0,0,0,0,0,0.1366
55296000,4096,0,0,0,65536,0,0,0,0,0,0.2443
110592000,8192,0,0,0,65536,0,0,0,0,0,0.3917
165888000,12288,0,0,0,65536,0,0,0,0,0,0.5825
193536000,14336,0,0,0,65536,0,0,0,0,0,0.7097
221184000,16384,0,0,0,65536,0,0,0,0,0,0.7774
0,0,0,0,0,65536,0,0,0,0,0,0.121
18432000,4096,0,0,0,65536,0,0,0,0,0,0.181
36864000,8192,0,0,0,65536,0,0,0,0,0,0.2452
73728000,16384,0,0,0,65536,0,0,0,0,0,0.405
147456000,32768,0,0,0,65536,0,0,0,0,0,0.73
175104000,38912,0,0,0,65536,0,0,0,0,0,0.89
0,0,0,0,0,65536,0,0,0,0,0,0.1361
51840000,2048,0,0,0,65536,0,0,0,0,0,0.203
103680000,4096,0,0,0,65536,0,0,0,0,0,0.2973
155520000,6144,0,0,0,65536,0,0,0,0,0,0.4361
207360000,8192,0,0,0,65536,0,0,0,0,0,0.6345
259200000,10240,0,0,0,65536,0,0,0,0,0,0.8743
0,0,0,0,0,65536,0,0,0,0,0,0.1117
62208000,4096,0,0,0,65536,0,0,0,0,0,0.274
186624000,12288,0,0,0,65536,0,0,0,0,0,0.742
0,0,0,0,0,65536,0,0,0,0,0,0.129
41472000,4096,0,0,0,65536,0,0,0,0,0,0.2275
82944000,8192,0,0,0,65536,0,0,0,0,0,0.343
124416000,12288,0,0,0,65536,0,0,0,0,0,0.4761
165888000,16384,0,0,0,65536,0,0,0,0,0,0.656
186624000,18432,0,0,0,65536,0,0,0,0,0,0.764
0,0,0,0,0,131072,0,0,9216000,512,0,0.194
0,0,0,0,0,131072,0,0,36864000,2048,0,0.2888
0,0,0,0,0,131072,0,0,92160000,5120,0,0.486
0,0,0,0,0,131072,0,0,110592000,6144,0,0.661
0,0,0,0,0,131072,0,0,9216000,1024,0,0.2012
0,0,0,0,0,131072,0,0,36864000,4096,0,0.31
0,0,0,0,0,131072,0,0,73728000,8192,0,0.5004
0,0,0,0,0,131072,0,0,92160000,10240,0,0.583
0,0,0,0,0,131072,0,0,110592000,12288,0,0.7098
0,0,0,0,0,131072,8,0,0,0,0,0.193
0,0,0,0,0,131072,16,0,0,0,0,0.2074
0,0,0,0,0,131072,32,0,0,0,0,0.2193
0,0,0,0,0,131072,0,8,0,0,0,0.2579
0,0,0,0,0,131072,0,16,0,0,0,0.279
0,0,0,0,0,131072,0,32,0,0,0,0.2895
0,0,0,0,0,131072,0,0,119808000,6656,0,0.7316
0,0,0,0,0,131072,0,0,129024000,7168,0,0.812
0,0,73728000,4096,0,131072,0,0,0,0,0,0.2312
0,0,147456000,8192,0,131072,0,0,0,0,0,0.389
0,0,184320000,10240,0,131072,0,0,0,0,0,0.534
0,0,221184000,12288,0,131072,0,0,0,0,0,0.685
0,0,294912000,16384,0,131072,0,0,0,0,0,0.982
0,0,9216000,1024,0,131072,0,0,0,0,0,0.198
0,0,36864000,4096,0,131072,0,0,0,0,0,0.261
0,0,147456000,16384,0,131072,0,0,0,0,0,0.5555
0,0,184320000,20480,0,131072,0,0,0,0,0,0.7484
0,0,202752000,22528,0,131072,0,0,0,0,0,0.7805
0,0,18432000,4096,0,131072,0,0,0,0,0,0.204
0,0,36864000,8192,0,131072,0,0,0,0,0,0.286
0,0,73728000,16384,0,131072,0,0,0,0,0,0.411
0,0,147456000,32768,0,131072,0,0,0,0,0,0.7178
124416000,8192,0,0,0,8192,0,0,0,0,0,0.3351
248832000,16384,0,0,0,16384,0,0,0,0,0,0.8158
186624000,12288,0,0,0,12288,0,0,0,0,0,0.529
27648000,4096,0,0,0,16384,0,0,0,0,0,0.2382
55296000,8192,0,0,0,24576,0,0,0,0,0,0.4008
82944000,12288,0,0,0,32768,0,0,0,0,0,0.6201
103680000,4096,0,0,0,4096,0,0,0,0,0,0.205
207360000,8192,0,0,0,8192,0,0,0,0,0,0.507
259200000,10240,0,0,0,10240,0,0,0,0,0,0.701
62208000,8192,0,0,0,8192,0,0,0,0,0,0.2633
124416000,16384,0,0,0,16384,0,0,0,0,0,0.475
186624000,24576,0,0,0,24576,0,0,0,0,0,0.724
248832000,32768,0,0,0,32768,0,0,0,0,0,0.928
62208000,4096,0,0,0,4096,0,0,0,0,0,0.1771
124416000,8192,0,0,0,8192,0,0,0,0,0,0.3107
186624000,12288,0,0,0,12288,0,0,0,0,0,0.5
248832000,16384,0,0,0,16384,0,0,0,0,0,0.759
124416000,4096,0,0,0,4096,0,0,0,0,0,0.2588
186624000,6144,0,0,0,6144,0,0,0,0,0,0.369
248832000,8192,0,0,0,8192,0,0,0,0,0,0.5852
279936000,9216,0,0,0,9216,0,0,0,0,0,0.7397
311040000,10240,0,0,0,10240,0,0,0,0,0,0.9345
0,0,0,0,0,131072,0,0,101376000,11264,0,0.635
0,0,0,0,0,131072,0,0,73728000,8192,0,0.4674
0,0,0,0,0,131072,0,0,18432000,4096,0,0.304
0,0,0,0,0,131072,0,0,36864000,8192,0,0.442
0,0,0,0,0,131072,0,0,55296000,12288,0,0.6234
0,0,0,0,0,131072,0,0,73728000,16384,0,0.804
0,0,0,0,0,131072,0,0,12288000,4096,0,0.294
0,0,0,0,0,131072,0,0,24576000,8192,0,0.429
0,0,0,0,0,131072,0,0,36864000,12288,0,0.5539
124416000,16384,0,0,0,16384,0,0,0,0,0,0.427
155520000,20480,0,0,0,20480,0,0,0,0,0,0.556
186624000,24576,0,0,0,24576,0,0,0,0,0,0.7003
217728000,28672,0,0,0,28672,0,0,0,0,0,0.861
124416000,4096,0,0,0,4096,0,0,0,0,0,0.763
248832000,8192,0,0,0,8192,0,0,0,0,0,0.324
124416000,16384,0,0,0,16384,0,0,124416000,16384,0,0.6154
124416000,16384,124416000,16384,0,16384,0,0,0,0,0,0.489
217728000,28672,217728000,28672,0,28672,0,0,0,0,0,0.956
155520000,20480,0,0,0,20480,0,0,155520000,20480,0,0.7641
155520000,20480,155520000,20480,0,20480,0,0,0,0,0,0.6011
186624000,24576,186624000,24576,0,24576,0,0,0,0,0,0.7504
0,0,0,0,131072,65536,0,0,0,0,0,0.157
62208000,2048,0,0,131072,65536,0,0,0,0,0,0.2908
124416000,4096,0,0,131072,65536,0,0,0,0,0,0.5496
186624000,6144,0,0,131072,65536,0,0,0,0,0,0.923
0,0,0,0,0,0,0,0,0,0,0,0.054
0,0,0,0,0,0,0,0,0,0,0,0.0692
0,0,0,0,0,0,0,0,0,0,0,0.073
0,0,0,0,0,0,0,0,0,0,0,0.0839
