Local Decode(TotalCH*Resolution*FPS),Local Decode(Total Bit Rate),Smart Guard(General Motion)(Total DecodeResolution*FPS),Smart Guard(General Motion)(Total Decode Bit Rate),Live View Connection(Server Total UpLoad Bit Rate),Always Record(Total Record Bit Rate),IVS Channel(Resolution*FPS),IVS Channel(Bit Rate),const,Loading Avg
124416000,16384,0,0,0,16384,0,0,0,0.169
155520000,20480,0,0,0,20480,0,0,0,0.219
186624000,24576,0,0,0,24576,0,0,0,0.291
217728000,28672,0,0,0,28672,0,0,0,0.365
124416000,16384,0,0,0,16384,124416000,16384,0,0.211
124416000,16384,124416000,16384,0,16384,0,0,0,0.185
155520000,20480,0,0,0,20480,155520000,20480,0,0.273
155520000,20480,155520000,20480,0,20480,0,0,0,0.237
186624000,24576,186624000,24576,0,24576,0,0,0,0.315
217728000,28672,217728000,28672,0,28672,0,0,0,0.489
