Local Decode(TotalCH*Resolution*FPS),Local Decode(Total Bit Rate),Smart Guard(General Motion)(Total DecodeResolution*FPS)(Pure),Smart Guard(General Motion)(Total Decode Bit Rate),Live View Connection(Server Total UpLoad Bit Rate),Always Record(Total Record Bit Rate),Metadata,Edge Event,IVS Channel(Resolution*FPS),IVS Channel(Bit Rate),const,Loading Avg
124416000,24000,0,0,0,24000,0,0,0,0,0,0.286
155520000,30000,0,0,0,30000,0,0,0,0,0,0.3239
186624000,36000,0,0,0,36000,0,0,0,0,0,0.39
217728000,42000,0,0,0,42000,0,0,0,0,0,0.4556
248832000,48000,0,0,0,48000,0,0,0,0,0,0.5291
124416000,24000,124416000,24000,0,24000,0,0,0,0,0,0.2848
248832000,48000,248832000,48000,0,48000,0,0,0,0,0,0.6496
155520000,30000,155520000,30000,0,30000,0,0,0,0,0,0.3568
186624000,36000,186624000,36000,0,36000,0,0,0,0,0,0.4275
217728000,42000,217728000,42000,0,42000,0,0,0,0,0,0.5322
248832000,48000,248832000,48000,0,48000,0,0,0,0,0,0.6422
